op_type, op_index, network_size, n_connections, total_time
join, 8038, 2826, 320, 253.0432142461768
join, 8039, 2827, 320, 246.17153702462346
lookup, 8040, 2827, 8, 4.379740986905265
lookup, 8041, 2827, 4, 1.7534994662813275
join, 8042, 2828, 306, 233.94015901345588
lookup, 8043, 2828, 7, 8.43125985440004
lookup, 8044, 2828, 11, 11.028587016021
lookup, 8045, 2828, 8, 7.544413716007341
lookup, 8046, 2828, 9, 5.70130119391811
lookup, 8047, 2828, 9, 10.441806114861606
join, 8048, 2829, 300, 247.85944793638643
lookup, 8049, 2829, 10, 12.951726623514018
lookup, 8050, 2829, 7, 4.3452529782444556
lookup, 8051, 2829, 5, 4.965342193118449
join, 8052, 2830, 298, 245.1737606114414
lookup, 8053, 2830, 8, 5.341742572361888
join, 8054, 2831, 309, 237.369167111313
join, 8055, 2832, 319, 256.8429452637864
join, 8056, 2833, 319, 277.7405022703522
lookup, 8057, 2833, 5, 5.286706299044676
lookup, 8058, 2833, 9, 8.360037018522924
join, 8059, 2834, 330, 219.15106825043193
lookup, 8060, 2834, 9, 7.038666187194615
lookup, 8061, 2834, 6, 4.52899201200141
lookup, 8062, 2834, 5, 4.123318334629338
lookup, 8063, 2834, 10, 9.421149033529845
lookup, 8064, 2834, 9, 9.519222964494485
lookup, 8065, 2834, 7, 5.816684100921237
join, 8066, 2835, 312, 279.25532391080606
lookup, 8067, 2835, 8, 2.563226959456442
join, 8068, 2836, 328, 206.40502111024844
join, 8069, 2837, 310, 203.43538820831634
join, 8070, 2838, 302, 252.4118310781282
lookup, 8071, 2838, 8, 4.4922455206513305
lookup, 8072, 2838, 9, 7.745295556690332
lookup, 8073, 2838, 7, 6.737918035456878
join, 8074, 2839, 296, 271.66732914661026
join, 8075, 2840, 298, 214.0868481852236
lookup, 8076, 2840, 9, 7.900309063507172
lookup, 8077, 2840, 9, 10.34875676573785
join, 8078, 2841, 293, 278.1455700956964
lookup, 8079, 2841, 8, 2.9663702820147146
join, 8080, 2842, 302, 258.74704733570246
lookup, 8081, 2842, 10, 6.02503780250955
join, 8082, 2843, 325, 301.7709813084742
lookup, 8083, 2843, 7, 6.040862820249132
join, 8084, 2844, 297, 217.52022441118734
lookup, 8085, 2844, 9, 8.716295269915234
join, 8086, 2845, 315, 268.75535053181136
lookup, 8087, 2845, 7, 2.0458452741199613
lookup, 8088, 2845, 5, 3.875863514262203
lookup, 8089, 2845, 8, 9.14304446200713
join, 8090, 2846, 320, 221.35610094580215
join, 8091, 2847, 333, 254.93677979891743
join, 8092, 2848, 300, 228.36824407637832
join, 8093, 2849, 299, 206.28613669422833
join, 8094, 2850, 305, 243.0555297356147
join, 8095, 2851, 309, 241.0240108828728
lookup, 8096, 2851, 7, 4.960542354273685
lookup, 8097, 2851, 9, 5.785444008276102
lookup, 8098, 2851, 9, 7.2514924241583785
join, 8099, 2852, 320, 234.56188694217713
join, 8100, 2853, 289, 231.04189434759124
lookup, 8101, 2853, 9, 6.948057513873176
lookup, 8102, 2853, 7, 5.191500232797301
join, 8103, 2854, 308, 274.5049941825128
lookup, 8104, 2854, 10, 4.35743965937088
join, 8105, 2855, 307, 215.2701879981546
lookup, 8106, 2855, 7, 5.191322766959037
lookup, 8107, 2855, 6, 3.9491370715749414
join, 8108, 2856, 295, 273.8848456796931
lookup, 8109, 2856, 10, 4.772479582912682
join, 8110, 2857, 321, 272.5475859808174
join, 8111, 2858, 298, 213.14090122896837
lookup, 8112, 2858, 7, 3.909699773292248
join, 8113, 2859, 308, 292.5194965436906
lookup, 8114, 2859, 11, 6.3857229232650745
join, 8115, 2860, 302, 253.15135686468022
lookup, 8116, 2860, 8, 6.12666815680927
join, 8117, 2861, 312, 233.01322989291668
lookup, 8118, 2861, 10, 6.42912767100272
lookup, 8119, 2861, 11, 8.01318694970205
join, 8120, 2862, 285, 231.98944567003812
join, 8121, 2863, 331, 253.2996321495075
join, 8122, 2864, 299, 278.59406006785963
lookup, 8123, 2864, 7, 5.734759479599389
lookup, 8124, 2864, 6, 7.854710153161397
lookup, 8125, 2864, 9, 9.997573985328968
lookup, 8126, 2864, 9, 7.038022125111687
lookup, 8127, 2864, 6, 5.170031907018707
join, 8128, 2865, 319, 248.1854193352744
join, 8129, 2866, 321, 223.53853389776205
lookup, 8130, 2866, 7, 7.974281554825243
join, 8131, 2867, 309, 248.060563696092
join, 8132, 2868, 312, 235.97481112536286
lookup, 8133, 2868, 8, 8.33404787462637
lookup, 8134, 2868, 6, 2.837187144674816
lookup, 8135, 2868, 8, 3.2043562755192494
lookup, 8136, 2868, 8, 3.8205238621995816
lookup, 8137, 2868, 9, 8.70195731172481
lookup, 8138, 2868, 5, 4.488473668871039
lookup, 8139, 2868, 8, 6.307316512919565
join, 8140, 2869, 320, 246.01927639214674
lookup, 8141, 2869, 8, 4.227510285963154
lookup, 8142, 2869, 9, 9.098418503874589
lookup, 8143, 2869, 6, 3.9623088091970278
lookup, 8144, 2869, 7, 3.527929310229699
lookup, 8145, 2869, 7, 5.008111276271779
join, 8146, 2870, 303, 244.4163532002149
lookup, 8147, 2870, 6, 8.600554423762098
lookup, 8148, 2870, 6, 4.192990335136389
lookup, 8149, 2870, 10, 8.595031876755321
join, 8150, 2871, 301, 273.2639273475168
lookup, 8151, 2871, 8, 6.727079562916305
lookup, 8152, 2871, 7, 5.167740589875202
lookup, 8153, 2871, 6, 5.7797242402631035
lookup, 8154, 2871, 8, 5.971555717276444
lookup, 8155, 2871, 8, 3.901289958572275
join, 8156, 2872, 327, 215.98723841104092
lookup, 8157, 2872, 7, 6.554471210018638
join, 8158, 2873, 325, 249.9949429645438
lookup, 8159, 2873, 7, 5.463925466197477
join, 8160, 2874, 310, 278.0429340794585
lookup, 8161, 2874, 6, 2.721517568032836
join, 8162, 2875, 333, 281.18294629514963
lookup, 8163, 2875, 8, 5.731515337856644
lookup, 8164, 2875, 8, 8.24237617350698
lookup, 8165, 2875, 5, 2.03664297841846
join, 8166, 2876, 303, 226.18676913591707
join, 8167, 2877, 325, 282.01324762489327
join, 8168, 2878, 307, 306.9325725358347
lookup, 8169, 2878, 7, 4.014881126091943
join, 8170, 2879, 325, 343.86702346738645
lookup, 8171, 2879, 8, 6.741966146809281
lookup, 8172, 2879, 7, 7.045746624890455
lookup, 8173, 2879, 6, 4.49959590784365
join, 8174, 2880, 315, 239.10698002691888
join, 8175, 2881, 322, 307.8739593930933
lookup, 8176, 2881, 7, 5.511820517072117
lookup, 8177, 2881, 7, 3.8637468682454106
lookup, 8178, 2881, 5, 5.410034273363976
lookup, 8179, 2881, 7, 3.897990135698744
join, 8180, 2882, 329, 281.391948164492
lookup, 8181, 2882, 9, 7.476397054706446
lookup, 8182, 2882, 8, 5.825005358930489
join, 8183, 2883, 316, 233.44921248786142
join, 8184, 2884, 300, 226.97158521009374
lookup, 8185, 2884, 9, 6.7974510614231285
lookup, 8186, 2884, 8, 5.368883759954153
lookup, 8187, 2884, 8, 4.129899657984936
join, 8188, 2885, 319, 323.9171116456216
lookup, 8189, 2885, 8, 10.44136239888966
lookup, 8190, 2885, 5, 4.055492067914075
join, 8191, 2886, 280, 201.9350952954119
join, 8192, 2887, 303, 220.4330655369653
lookup, 8193, 2887, 8, 6.55626041267681
lookup, 8194, 2887, 8, 6.782521667603628
lookup, 8195, 2887, 11, 9.11408705879341
lookup, 8196, 2887, 7, 3.450703615632873
lookup, 8197, 2887, 9, 5.365101670763892
lookup, 8198, 2887, 8, 8.059165036846984
lookup, 8199, 2887, 7, 5.907568468127958
lookup, 8200, 2887, 9, 5.306669978051029
lookup, 8201, 2887, 8, 4.085524849014784
join, 8202, 2888, 301, 277.61756936804534
lookup, 8203, 2888, 7, 7.331024001693989
join, 8204, 2889, 311, 266.79429893494284
join, 8205, 2890, 297, 225.99970215007994
join, 8206, 2891, 328, 275.07166831813106
lookup, 8207, 2891, 8, 4.437742259987525
lookup, 8208, 2891, 7, 3.9676625925025544
lookup, 8209, 2891, 6, 4.785671329193134
lookup, 8210, 2891, 8, 6.120613532877234
join, 8211, 2892, 313, 191.86084992186414
join, 8212, 2893, 300, 219.26818225308924
lookup, 8213, 2893, 7, 5.060712164264833
join, 8214, 2894, 288, 217.89354066648042
join, 8215, 2895, 318, 274.92565121734975
lookup, 8216, 2895, 4, 2.9334408068525755
lookup, 8217, 2895, 8, 8.921737129053287
lookup, 8218, 2895, 7, 3.5154101833531626
lookup, 8219, 2895, 8, 6.017168289165801
lookup, 8220, 2895, 8, 7.9406346803584205
join, 8221, 2896, 316, 242.4841593365004
lookup, 8222, 2896, 11, 9.183562868692242
lookup, 8223, 2896, 6, 5.406324963596841
lookup, 8224, 2896, 9, 7.095576218209295
join, 8225, 2897, 320, 247.32401856932134
join, 8226, 2898, 318, 225.97425817554455
lookup, 8227, 2898, 8, 5.503646391080139
join, 8228, 2899, 317, 232.2996964252663
lookup, 8229, 2899, 7, 6.387958428968312
join, 8230, 2900, 305, 280.29494628583285
lookup, 8231, 2900, 10, 8.331224987085168
join, 8232, 2901, 305, 239.58590870556918
join, 8233, 2902, 310, 206.53239952552013
lookup, 8234, 2902, 7, 4.287268783447553
lookup, 8235, 2902, 9, 7.766712624523782
lookup, 8236, 2902, 6, 5.390516372682481
lookup, 8237, 2902, 9, 5.815656526645125
join, 8238, 2903, 311, 234.38085983540435
lookup, 8239, 2903, 9, 8.428278338721656
join, 8240, 2904, 305, 299.2450727852409
join, 8241, 2905, 311, 249.25273950186474
join, 8242, 2906, 302, 226.75714531122782
lookup, 8243, 2906, 6, 4.977962114554279
join, 8244, 2907, 298, 215.17865607390516
join, 8245, 2908, 317, 234.5254789788582
join, 8246, 2909, 315, 226.479364320232
lookup, 8247, 2909, 8, 5.3706084871538415
lookup, 8248, 2909, 8, 5.258684928519733
join, 8249, 2910, 283, 217.87363725589128
join, 8250, 2911, 313, 275.0090770990422
join, 8251, 2912, 297, 195.95410454805807
lookup, 8252, 2912, 7, 6.566909732654358
lookup, 8253, 2912, 11, 7.9895535599361835
lookup, 8254, 2912, 10, 5.449449069793045
join, 8255, 2913, 321, 243.8840687049131
lookup, 8256, 2913, 9, 8.080683891083801
lookup, 8257, 2913, 8, 6.706955608641137
lookup, 8258, 2913, 6, 4.684565676599325
lookup, 8259, 2913, 6, 6.569643887277632
lookup, 8260, 2913, 8, 8.60159049604888
join, 8261, 2914, 291, 219.69003154907557
join, 8262, 2915, 317, 229.42446444424505
join, 8263, 2916, 293, 242.09842075452192
join, 8264, 2917, 305, 226.4497032727294
lookup, 8265, 2917, 9, 6.074136293342432
lookup, 8266, 2917, 7, 4.129243862865514
join, 8267, 2918, 344, 268.7942318010379
join, 8268, 2919, 326, 265.17787307752565
lookup, 8269, 2919, 4, 3.889369449957324
lookup, 8270, 2919, 6, 5.82546920659753
lookup, 8271, 2919, 10, 5.4564917773307196
join, 8272, 2920, 345, 289.4429026475648
lookup, 8273, 2920, 9, 7.318431380535192
lookup, 8274, 2920, 6, 4.824039518048242
join, 8275, 2921, 307, 216.01553669239766
join, 8276, 2922, 327, 260.4385456494773
join, 8277, 2923, 310, 220.4341220454192
lookup, 8278, 2923, 7, 6.887981221929164
lookup, 8279, 2923, 6, 5.691557097508818
lookup, 8280, 2923, 6, 4.670544458786427
lookup, 8281, 2923, 11, 6.33492006654245
lookup, 8282, 2923, 7, 4.470564389811529
lookup, 8283, 2923, 8, 5.564236159515924
join, 8284, 2924, 288, 226.79133650348115
lookup, 8285, 2924, 5, 5.10009247912895
lookup, 8286, 2924, 6, 4.273855070843452
lookup, 8287, 2924, 8, 6.530456621858492
lookup, 8288, 2924, 9, 5.825018287915127
lookup, 8289, 2924, 9, 8.090998254310021
lookup, 8290, 2924, 7, 6.161318902766148
lookup, 8291, 2924, 8, 6.718542631472905
lookup, 8292, 2924, 9, 4.659365088194284
lookup, 8293, 2924, 7, 5.153862239198837
lookup, 8294, 2924, 8, 6.6464241339896715
lookup, 8295, 2924, 5, 4.921729227963487
lookup, 8296, 2924, 7, 4.184743903559422
join, 8297, 2925, 305, 255.5748287447037
lookup, 8298, 2925, 4, 2.930589025806673
join, 8299, 2926, 301, 247.74393485067245
lookup, 8300, 2926, 7, 8.12229239445088
lookup, 8301, 2926, 8, 4.349750851976184
lookup, 8302, 2926, 7, 5.108397221448888
join, 8303, 2927, 312, 193.41442292179676
lookup, 8304, 2927, 8, 5.063558233185996
join, 8305, 2928, 316, 231.41650182627268
lookup, 8306, 2928, 7, 6.049378715242823
lookup, 8307, 2928, 9, 8.147205968457039
lookup, 8308, 2928, 7, 4.4832737637630595
lookup, 8309, 2928, 8, 7.194802823670179
lookup, 8310, 2928, 4, 2.563778208041232
join, 8311, 2929, 310, 249.2298614163538
lookup, 8312, 2929, 9, 7.5880224464526655
lookup, 8313, 2929, 8, 3.6767115578569727
lookup, 8314, 2929, 6, 4.772767376916116
lookup, 8315, 2929, 10, 6.983583028210634
lookup, 8316, 2929, 5, 5.647052175581822
join, 8317, 2930, 315, 253.90831874940025
lookup, 8318, 2930, 9, 6.71559979166313
join, 8319, 2931, 293, 220.52261192118425
lookup, 8320, 2931, 4, 3.4894149224340083
lookup, 8321, 2931, 6, 3.9659343436280228
join, 8322, 2932, 337, 354.424845547145
join, 8323, 2933, 318, 211.5834579234118
lookup, 8324, 2933, 8, 8.245687270945696
join, 8325, 2934, 313, 241.56106016551263
lookup, 8326, 2934, 10, 7.955097238216337
join, 8327, 2935, 313, 264.22906678710007
join, 8328, 2936, 311, 276.1157208163218
lookup, 8329, 2936, 8, 6.896941357584932
join, 8330, 2937, 315, 222.00740859645902
lookup, 8331, 2937, 8, 5.5725074718604946
lookup, 8332, 2937, 8, 5.175157612667983
lookup, 8333, 2937, 7, 8.128104096023817
join, 8334, 2938, 296, 273.3918771485317
lookup, 8335, 2938, 6, 5.872807947786457
join, 8336, 2939, 321, 265.3959105335121
join, 8337, 2940, 299, 217.5781502071045
join, 8338, 2941, 288, 181.1225924448402
lookup, 8339, 2941, 8, 6.633674559127869
join, 8340, 2942, 313, 254.35731745239275
lookup, 8341, 2942, 9, 7.6657497513414565
join, 8342, 2943, 329, 254.53605264166862
join, 8343, 2944, 328, 279.19134430181026
join, 8344, 2945, 324, 251.36426325757006
lookup, 8345, 2945, 10, 5.723730333571624
join, 8346, 2946, 307, 227.99348439764853
lookup, 8347, 2946, 5, 3.1588953192122964
join, 8348, 2947, 317, 252.51672519859636
lookup, 8349, 2947, 6, 5.340203312053386
lookup, 8350, 2947, 5, 4.179926206321069
lookup, 8351, 2947, 9, 5.41659936948533
join, 8352, 2948, 304, 207.2670872383875
lookup, 8353, 2948, 8, 6.035887881305828
lookup, 8354, 2948, 8, 5.289110608317446
lookup, 8355, 2948, 8, 5.331082200621427
lookup, 8356, 2948, 11, 5.1246993826930085
lookup, 8357, 2948, 8, 6.564632337837409
join, 8358, 2949, 310, 272.1195445409506
join, 8359, 2950, 313, 266.5249350601909
lookup, 8360, 2950, 8, 6.055245887754541
lookup, 8361, 2950, 12, 5.138753475428963
lookup, 8362, 2950, 7, 4.355287561105192
lookup, 8363, 2950, 3, 0.8704839229626748
lookup, 8364, 2950, 10, 3.872339178923218
lookup, 8365, 2950, 9, 5.566060009928966
lookup, 8366, 2950, 9, 7.772288868407717
lookup, 8367, 2950, 8, 4.833083235392023
join, 8368, 2951, 305, 299.53922562050076
lookup, 8369, 2951, 11, 9.33125290896555
lookup, 8370, 2951, 8, 6.171101824483854
join, 8371, 2952, 347, 255.56563015805824
lookup, 8372, 2952, 8, 5.847332427903716
lookup, 8373, 2952, 6, 1.8940489644173502
lookup, 8374, 2952, 4, 5.002608385778986
lookup, 8375, 2952, 7, 7.0094764192226595
lookup, 8376, 2952, 5, 5.111611382803769
lookup, 8377, 2952, 7, 4.039927050039127
join, 8378, 2953, 287, 232.0908053026178
join, 8379, 2954, 322, 301.5110082346374
lookup, 8380, 2954, 7, 6.126876727951769
join, 8381, 2955, 301, 225.1983437838605
join, 8382, 2956, 303, 205.6921289834252
lookup, 8383, 2956, 6, 5.788057084749479
join, 8384, 2957, 324, 201.91352202865994
lookup, 8385, 2957, 8, 9.235280374101315
lookup, 8386, 2957, 4, 1.565738720364855
join, 8387, 2958, 330, 279.56163330653754
lookup, 8388, 2958, 7, 6.199629667322828
